product_id,name,description,dimensions,brand,category,material,image_url,seller,seller_address,price,stock_quantity
P1138,EcoLife Chair,Modern chair with sturdy frame and comfortable seating.,46x5x16 cm,EcoLife,Chair,Concrete,https://thvnext.bing.com/th/id/OIP.nvYy0C_mAVOHcD1QcM9opAHaDq?w=325&h=180&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,Nature's Store,"Bangalore, India",64.58,49
P1151,EarthWise Chair,Modern chair with sturdy frame and comfortable seating.,42x29x16 cm,EarthWise,Chair,Concrete,https://thvnext.bing.com/th/id/OIP.Vsmmak3IKsv3klqniWNTkwHaGa?w=209&h=181&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,GreenMart,"Mumbai, India",73.81,23
P1158,SustainAble Chair,Modern chair with sturdy frame and comfortable seating.,20x6x5 cm,SustainAble,Chair,Steel (recycled),https://thvnext.bing.com/th/id/OIP.JZgHmblWRq7ElFYdUXIVOgAAAA?w=151&h=180&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,EcoGoods Hub,"Bangalore, India",48.48,74
P1174,EcoLife Chair,Modern chair with sturdy frame and comfortable seating.,15x14x16 cm,EcoLife,Chair,Aluminum (recycled),https://thvnext.bing.com/th/id/OIP.htwpxFmi3HvCQFkfeJ8gggHaFj?w=249&h=187&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,GreenMart,"Chennai, India",92.45,88
P1189,EarthWise Chair,Modern chair with sturdy frame and comfortable seating.,11x7x15 cm,EarthWise,Chair,Wood (softwood),https://thvnext.bing.com/th/id/OIP.l8bNSr0CZ1B8gbghjSs1qwHaEK?w=294&h=180&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,EcoGoods Hub,"Delhi, India",37.92,29
P1193,SustainAble Chair,Modern chair with sturdy frame and comfortable seating.,33x20x10 cm,SustainAble,Chair,PVC,https://thvnext.bing.com/th/id/OIP.-1u-7cLMCGRWNEQfAHIxiQHaGa?w=254&h=220&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,EarthOutlet,"Bangalore, India",12.99,19
P1000,ReThink Laptop Stand,Ergonomic stand designed for better posture and cooling.,19x9x15 cm,ReThink,Laptop Stand,Rubber (natural),https://microless.com/cdn/products/b04264b27e8bec627b65dc2711b07379-hi.jpg,GreenMart,"Mumbai, India",96.98,47
P1003,GreenGear Laptop Stand,Ergonomic stand designed for better posture and cooling.,10x48x14 cm,GreenGear,Laptop Stand,Concrete,https://m.media-amazon.com/images/I/61Av3LWhNwL._SL1500_.jpg,EcoGoods Hub,"Bangalore, India",55.75,14
P1025,PlanetWear Laptop Stand,Ergonomic stand designed for better posture and cooling.,20x7x19 cm,PlanetWear,Laptop Stand,Aluminum (primary),https://thvnext.bing.com/th/id/OIP.WdWo8Bv3yK9hOj9S0Sv3ggHaHa?w=187&h=187&c=7&r=0&o=7&cb=thvnext&dpr=1.1&pid=1.7&rm=3,EcoGoods Hub,"Hyderabad, India",60.11,66
P1027,EarthWise Laptop Stand,Ergonomic stand designed for better posture and cooling.,21x43x15 cm,EarthWise,Laptop Stand,Steel (virgin),https://thvnext.bing.com/th/id/OIP.sZM2VGRuWM9Mt5kxIBzeBQHaIY?w=161&h=183&c=7&r=0&o=7&cb=thvnext&dpr=1.1&pid=1.7&rm=3,GreenMart,"Chennai, India",26.86,39
P1042,EcoChoice Laptop Stand,Ergonomic stand designed for better posture and cooling.,40x18x6 cm,EcoChoice,Laptop Stand,PET,https://thvnext.bing.com/th/id/OIP.09JATMK24BNpMSPh4gkJVgHaHa?w=219&h=219&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,GreenMart,"Chennai, India",31.77,38
P1050,EcoChoice Laptop Stand,Ergonomic stand designed for better posture and cooling.,33x34x12 cm,EcoChoice,Laptop Stand,Glass (virgin),https://thvnext.bing.com/th/id/OIP.CXc25C3ynkk5SRgpvp2R_AHaHa?w=195&h=195&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,GreenMart,"Bangalore, India",42.99,58
P1056,GreenGear Laptop Stand,Ergonomic stand designed for better posture and cooling.,35x40x3 cm,GreenGear,Laptop Stand,Wood (softwood),https://thvnext.bing.com/th/id/OIP.PN-7T9KByNmltWHY1oDWqAHaF7?w=201&h=180&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,GreenMart,"Bangalore, India",25.51,52
P1058,PlanetWear Laptop Stand,Ergonomic stand designed for better posture and cooling.,5x10x11 cm,PlanetWear,Laptop Stand,Paper (recycled),https://thvnext.bing.com/th/id/OIP.VJaowMnk7GJ2ug5Pb5w16QHaFU?w=224&h=180&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,Verde Suppliers,"Bangalore, India",56.77,45
P1060,EarthWise Laptop Stand,Ergonomic stand designed for better posture and cooling.,20x12x13 cm,EarthWise,Laptop Stand,Glass (recycled),https://thvnext.bing.com/th/id/OIP.WccgllhrbJfYT5zCP9neBgHaHa?w=187&h=187&c=7&r=0&o=7&cb=thvnext&dpr=1.1&pid=1.7&rm=3,EarthOutlet,"Chennai, India",39.76,41
P1066,EcoChoice Laptop Stand,Ergonomic stand designed for better posture and cooling.,35x10x5 cm,EcoChoice,Laptop Stand,Rubber (natural),https://thvnext.bing.com/th/id/OIP.Ed_-G4GmYFXz4wZ-NXALrgHaHa?w=195&h=195&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,EcoGoods Hub,"Mumbai, India",97.21,77
P1070,EcoLife Laptop Stand,Ergonomic stand designed for better posture and cooling.,16x29x16 cm,EcoLife,Laptop Stand,Stainless Steel,https://thvnext.bing.com/th/id/OIP._fx1je_nnsre5TMojm8rEgHaIL?w=176&h=195&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,EcoGoods Hub,"Delhi, India",80.86,68
P1120,SustainAble Laptop Stand,Ergonomic stand designed for better posture and cooling.,28x43x7 cm,SustainAble,Laptop Stand,HDPE,https://thvnext.bing.com/th/id/OIP.WBMAKW_C4FMJ3rqaGCUirwHaHa?w=195&h=195&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,GreenMart,"Chennai, India",49.67,67
P1123,EcoNest Laptop Stand,Ergonomic stand designed for better posture and cooling.,7x49x14 cm,EcoNest,Laptop Stand,Steel (virgin),https://thvnext.bing.com/th/id/OIP.oCjTpS4qzAcs-fHeXXEdLAHaHa?w=195&h=195&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,GreenMart,"Bangalore, India",48.83,37
P1129,ReThink Laptop Stand,Ergonomic stand designed for better posture and cooling.,17x35x15 cm,ReThink,Laptop Stand,Glass (recycled),https://thvnext.bing.com/th/id/OIP.-EtFTAMEQhqky4rPF6RMKwHaHa?w=204&h=198&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,Nature's Store,"Delhi, India",79.12,77
P1156,EcoLife Laptop Stand,Ergonomic stand designed for better posture and cooling.,10x9x8 cm,EcoLife,Laptop Stand,Stainless Steel,https://thvnext.bing.com/th/id/OIP.JPjQ0iW4iFFgAX2Ds2i-fwHaHY?w=161&h=180&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,Verde Suppliers,"Hyderabad, India",72.66,50
P1163,PlanetWear Laptop Stand,Ergonomic stand designed for better posture and cooling.,8x35x9 cm,PlanetWear,Laptop Stand,Copper,https://thvnext.bing.com/th/id/OIP.HHGjGLJW_77DII1wQo8TmwHaHa?w=195&h=195&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,EcoGoods Hub,"Delhi, India",22.49,43
P1165,GreenGear Laptop Stand,Ergonomic stand designed for better posture and cooling.,19x40x4 cm,GreenGear,Laptop Stand,Organic Cotton,https://thvnext.bing.com/th/id/OIP.R8MPq_B43eeXDRHCUwI-awHaHa?w=218&h=219&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,EarthOutlet,"Chennai, India",5.15,24
P1167,EarthWise Laptop Stand,Ergonomic stand designed for better posture and cooling.,5x43x11 cm,EarthWise,Laptop Stand,Concrete,https://tse3.mm.bing.net/th/id/OIP.fn7ENlPrTUqUtuMeWJY95AHaE7?cb=thvnext&pid=ImgDet&w=200&h=133&c=7&dpr=1.1&o=7&rm=3,GreenMart,"Mumbai, India",28.88,63
P1175,NatureMark Laptop Stand,Ergonomic stand designed for better posture and cooling.,12x39x13 cm,NatureMark,Laptop Stand,Stainless Steel,https://thvnext.bing.com/th/id/OIP.lIBJYhgtY9xU-rWylUg7KwHaJP?w=174&h=219&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,Verde Suppliers,"Delhi, India",70.88,70
P1181,GreenGear Laptop Stand,Ergonomic stand designed for better posture and cooling.,5x21x15 cm,GreenGear,Laptop Stand,Concrete,https://thvnext.bing.com/th/id/OIP.HgBmLAiH1SSe75n_mBLItAHaGm?w=194&h=180&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,Verde Suppliers,"Delhi, India",8.1,80
P1183,EcoChoice Laptop Stand,Ergonomic stand designed for better posture and cooling.,22x24x15 cm,EcoChoice,Laptop Stand,Aluminum (primary),https://thvnext.bing.com/th/id/OIP.QeaEU4q8QeS-4v2qVhlrmAHaHm?w=192&h=197&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,EcoGoods Hub,"Hyderabad, India",13.2,94
P1021,GreenGear Notebook,"Hardcover notebook ideal for notes, journaling, or sketches.",27x9x5 cm,GreenGear,Notebook,Wood (softwood),https://thvnext.bing.com/th/id/OIP.tyBXcqaDWiLOxdyPoMLGlAHaHa?w=201&h=190&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,GreenMart,"Bangalore, India",81.72,22
P1053,SustainAble Notebook,"Hardcover notebook ideal for notes, journaling, or sketches.",17x19x12 cm,SustainAble,Notebook,Glass (recycled),https://thvnext.bing.com/th/id/OIP.2nglT_k8-LkesCTFVzkCTwHaE0?w=306&h=190&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,Verde Suppliers,"Delhi, India",83.33,53
P1054,PlanetWear Notebook,"Hardcover notebook ideal for notes, journaling, or sketches.",34x14x14 cm,PlanetWear,Notebook,LDPE,https://thvnext.bing.com/th/id/OIP.7RkwkdRxqSYMJ1k3bb3XNgHaHa?w=177&h=180&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,Verde Suppliers,"Delhi, India",33.24,42
P1063,NatureMark Notebook,"Hardcover notebook ideal for notes, journaling, or sketches.",48x45x1 cm,NatureMark,Notebook,Glass (recycled),https://thvnext.bing.com/th?q=Hard+Cover+Notebook&w=120&h=120&c=1&rs=1&qlt=90&cb=1&dpr=1.1&pid=InlineBlock&mkt=en-IN&cc=IN&setlang=en&adlt=strict&t=1&mw=247,Verde Suppliers,"Delhi, India",18.83,86
P1064,NatureMark Notebook,"Hardcover notebook ideal for notes, journaling, or sketches.",21x20x10 cm,NatureMark,Notebook,Plastic (general),https://thvnext.bing.com/th/id/OIP.5Tt4uSOUJ0Zy5W58REWBUQHaEL?w=311&h=180&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,GreenMart,"Bangalore, India",7.79,47
P1069,GreenGear Notebook,"Hardcover notebook ideal for notes, journaling, or sketches.",35x12x9 cm,GreenGear,Notebook,Rubber (natural),https://thvnext.bing.com/th/id/OIP.rPrLWhbMQYXEt30nMSCTSQHaHa?w=202&h=202&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,EcoGoods Hub,"Mumbai, India",85.21,99
P1089,NatureMark Notebook,"Hardcover notebook ideal for notes, journaling, or sketches.",10x22x15 cm,NatureMark,Notebook,Steel (virgin),https://thvnext.bing.com/th/id/OIP.VQFyMp_iMFn2wxxWiao3vADIEs?w=115&h=180&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,EarthOutlet,"Chennai, India",91.75,37
P1090,EcoLife Notebook,"Hardcover notebook ideal for notes, journaling, or sketches.",37x24x2 cm,EcoLife,Notebook,Aluminum (recycled),https://thvnext.bing.com/th?q=Notebook+Book&w=120&h=120&c=1&rs=1&qlt=90&cb=1&dpr=1.1&pid=InlineBlock&mkt=en-IN&cc=IN&setlang=en&adlt=strict&t=1&mw=247,EcoGoods Hub,"Chennai, India",81.82,53
P1092,EcoChoice Notebook,"Hardcover notebook ideal for notes, journaling, or sketches.",15x24x11 cm,EcoChoice,Notebook,Organic Cotton,https://thvnext.bing.com/th/id/OIP.wToWSY7tr8IwtT9wNcgmjwHaHa?w=176&h=180&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,GreenMart,"Bangalore, India",14.3,16
P1106,EarthWise Notebook,"Hardcover notebook ideal for notes, journaling, or sketches.",8x7x16 cm,EarthWise,Notebook,Cotton (non-organic),https://thvnext.bing.com/th/id/OIP.ROVpQ2JWhHHD0Ooh_aHZ1AHaG1?w=182&h=180&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,GreenMart,"Bangalore, India",47.07,78
P1110,EarthWise Notebook,"Hardcover notebook ideal for notes, journaling, or sketches.",25x28x10 cm,EarthWise,Notebook,Steel (recycled),https://thvnext.bing.com/th/id/OIP.oqbgfpnsAcW0JyTCXtYQnQHaHa?w=198&h=198&c=7&r=0&o=7&cb=thvnext&dpr=1.1&pid=1.7&rm=3,Verde Suppliers,"Mumbai, India",13.7,93
P1115,EcoNest Notebook,"Hardcover notebook ideal for notes, journaling, or sketches.",6x8x14 cm,EcoNest,Notebook,LDPE,https://thvnext.bing.com/th/id/OIP.gUuzw7DLuspNtKRyNznsugHaHa?w=200&h=200&c=7&r=0&o=7&cb=thvnext&dpr=1.1&pid=1.7&rm=3,EarthOutlet,"Hyderabad, India",7.18,44
P1124,EarthWise Notebook,"Hardcover notebook ideal for notes, journaling, or sketches.",26x6x16 cm,EarthWise,Notebook,Copper,https://thvnext.bing.com/th/id/OIP.rBdDSXybixziIamA5h4P1AHaHB?w=211&h=200&c=7&r=0&o=7&cb=thvnext&dpr=1.1&pid=1.7&rm=3,EcoGoods Hub,"Bangalore, India",66.05,70
P1126,EcoChoice Notebook,"Hardcover notebook ideal for notes, journaling, or sketches.",47x18x3 cm,EcoChoice,Notebook,Paper (recycled),https://thvnext.bing.com/th/id/OIP.GTqJJ4cMjG_s2j4_fnifagHaJ4?w=132&h=180&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,Nature's Store,"Bangalore, India",52.19,30
P1157,EarthWise Notebook,"Hardcover notebook ideal for notes, journaling, or sketches.",24x35x2 cm,EarthWise,Notebook,PVC,https://m.media-amazon.com/images/I/614j36mAQhL._SL1500_.jpg,Nature's Store,"Delhi, India",95.36,45
P1161,EcoChoice Notebook,"Hardcover notebook ideal for notes, journaling, or sketches.",7x30x12 cm,EcoChoice,Notebook,Paper (recycled),https://thvnext.bing.com/th/id/OIP.ZZGltGbb9-rj5wFjjaaf5QHaIB?w=165&h=185&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,Verde Suppliers,"Mumbai, India",31.73,87
P1170,GreenGear Notebook,"Hardcover notebook ideal for notes, journaling, or sketches.",23x25x5 cm,GreenGear,Notebook,Paper (recycled),https://thvnext.bing.com/th?q=Mini+Pocket+Notebook&w=120&h=120&c=1&rs=1&qlt=90&cb=1&dpr=1.1&pid=InlineBlock&mkt=en-IN&cc=IN&setlang=en&adlt=strict&t=1&mw=247,GreenMart,"Chennai, India",48.63,79
P1171,EarthWise Notebook,"Hardcover notebook ideal for notes, journaling, or sketches.",38x47x4 cm,EarthWise,Notebook,PET,https://thvnext.bing.com/th/id/OIP.tklTyjoz-z4wagM9t2pZJAAAAA?w=206&h=142&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,EarthOutlet,"Delhi, India",62.6,61
P1185,EcoNest Notebook,"Hardcover notebook ideal for notes, journaling, or sketches.",47x48x14 cm,EcoNest,Notebook,Concrete,https://thvnext.bing.com/th/id/OIP.R93lrIsz5VAKABvp53_9tQAAAA?w=189&h=172&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,Verde Suppliers,"Mumbai, India",49.58,64
P1024,Verde Phone Case,Protective and lightweight phone case with precise cutouts.,34x43x17 cm,Verde,Phone Case,Concrete,https://thvnext.bing.com/th/id/OIP.n6eZ-oHgcRlXxGqOoy8lmgHaHb?w=215&h=216&c=7&r=0&o=7&cb=thvnext&dpr=1.1&pid=1.7&rm=3,EarthOutlet,"Mumbai, India",95.77,66
P1033,SustainAble Phone Case,Protective and lightweight phone case with precise cutouts.,17x7x1 cm,SustainAble,Phone Case,Plastic (general),https://thvnext.bing.com/th/id/OIP.FP9by9xnuXwik4Bgb5TSVgHaHZ?w=217&h=216&c=7&r=0&o=7&cb=thvnext&dpr=1.1&pid=1.7&rm=3,Nature's Store,"Chennai, India",81.33,13
P1034,SustainAble Phone Case,Protective and lightweight phone case with precise cutouts.,15x24x10 cm,SustainAble,Phone Case,Stainless Steel,https://ts2.mm.bing.net/th?id=OIP.muXDFO1bcjv7z7Rvt1-drwHaHa&pid=15.1,Verde Suppliers,"Bangalore, India",32.07,28
P1035,EcoChoice Phone Case,Protective and lightweight phone case with precise cutouts.,24x48x17 cm,EcoChoice,Phone Case,Stainless Steel,https://ts3.mm.bing.net/th?id=OIP.E0mUdGvuyfetz_h00tP99wHaHa&pid=15.1,EarthOutlet,"Hyderabad, India",20.07,88
P1040,ReThink Phone Case,Protective and lightweight phone case with precise cutouts.,17x7x13 cm,ReThink,Phone Case,Stainless Steel,https://ts1.mm.bing.net/th?id=OIP.AlcRdikIOxES2qkcjE7opgHaDD&pid=15.1,EcoGoods Hub,"Mumbai, India",33.57,51
P1041,Verde Phone Case,Protective and lightweight phone case with precise cutouts.,31x24x5 cm,Verde,Phone Case,PET,https://thvnext.bing.com/th/id/OIP.jlQ0XhSeaKX0daMuzOP5eAHaHZ?w=191&h=190&c=7&r=0&o=7&cb=thvnext&dpr=1.1&pid=1.7&rm=3,EarthOutlet,"Hyderabad, India",14.9,60
P1045,EcoLife Phone Case,Protective and lightweight phone case with precise cutouts.,36x44x12 cm,EcoLife,Phone Case,Paper (recycled),https://thvnext.bing.com/th/id/OIP.mMO0DQt0hp_8JPjupqbewAHaHa?w=216&h=216&c=7&r=0&o=7&cb=thvnext&dpr=1.1&pid=1.7&rm=3,EcoGoods Hub,"Chennai, India",57.77,42
P1047,SustainAble Phone Case,Protective and lightweight phone case with precise cutouts.,23x27x6 cm,SustainAble,Phone Case,PET,https://thvnext.bing.com/th/id/OIP.aubBJPo-9cubP1QGle7g8AHaHa?w=184&h=184&c=7&r=0&o=7&cb=thvnext&dpr=1.1&pid=1.7&rm=3,EarthOutlet,"Delhi, India",84.8,40
P1049,PlanetWear Phone Case,Protective and lightweight phone case with precise cutouts.,19x35x4 cm,PlanetWear,Phone Case,Steel (virgin),https://thvnext.bing.com/th/id/OIP.C_QwoKVR_45ynx27K4Lb7gHaJ4?w=140&h=187&c=7&r=0&o=7&cb=thvnext&dpr=1.1&pid=1.7&rm=3,EarthOutlet,"Hyderabad, India",92.74,56
P1052,EcoNest Phone Case,Protective and lightweight phone case with precise cutouts.,11x42x12 cm,EcoNest,Phone Case,Aluminum (primary),https://thvnext.bing.com/th/id/OIP.DvLoxnGgQNHCOLRI-CBFQQHaHa?w=187&h=187&c=7&r=0&o=7&cb=thvnext&dpr=1.1&pid=1.7&rm=3,EcoGoods Hub,"Hyderabad, India",99.52,71
P1073,EcoLife Phone Case,Protective and lightweight phone case with precise cutouts.,38x8x19 cm,EcoLife,Phone Case,Copper,https://thvnext.bing.com/th/id/OIF.OiPaOZL884BhRqG69bPNXw?w=210&h=210&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,Nature's Store,"Chennai, India",78.86,90
P1079,NatureMark Phone Case,Protective and lightweight phone case with precise cutouts.,49x23x15 cm,NatureMark,Phone Case,PP,https://thvnext.bing.com/th/id/OIP.sN605Osake96NpksS4NCtwHaHD?w=197&h=187&c=7&r=0&o=7&cb=thvnext&dpr=1.1&pid=1.7&rm=3,GreenMart,"Delhi, India",9.93,96
P1087,EcoNest Phone Case,Protective and lightweight phone case with precise cutouts.,25x9x4 cm,EcoNest,Phone Case,Glass (recycled),https://thvnext.bing.com/th/id/OIP.WOe83Arr0bsuNNGkR_crjwHaHa?w=184&h=184&c=7&r=0&o=7&cb=thvnext&dpr=1.1&pid=1.7&rm=3,Verde Suppliers,"Delhi, India",78.39,11
P1104,GreenGear Phone Case,Protective and lightweight phone case with precise cutouts.,23x5x12 cm,GreenGear,Phone Case,Wood (softwood),https://thvnext.bing.com/th/id/OIP.0Ko05kqsVjLOYbEesZVZmgHaGN?w=235&h=196&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,EcoGoods Hub,"Hyderabad, India",38.79,60
P1117,ReThink Phone Case,Protective and lightweight phone case with precise cutouts.,21x28x15 cm,ReThink,Phone Case,Cotton (non-organic),https://thvnext.bing.com/th/id/OIP.NkqTfuAT0VkLQRC9x2yB8AHaE8?w=294&h=196&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,EarthOutlet,"Bangalore, India",93,15
P1139,SustainAble Phone Case,Protective and lightweight phone case with precise cutouts.,19x21x16 cm,SustainAble,Phone Case,Cotton (non-organic),https://thvnext.bing.com/th/id/OIP.Dkt1aRMM18d6S-_kwk7hnwHaHa?w=199&h=199&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,Verde Suppliers,"Bangalore, India",72.48,78
P1140,EcoLife Phone Case,Protective and lightweight phone case with precise cutouts.,25x48x6 cm,EcoLife,Phone Case,Aluminum (recycled),https://ts1.mm.bing.net/th?id=OIP.jM9VKDCAjf4CDFs53PssXgHaGN&pid=15.1,EcoGoods Hub,"Mumbai, India",36.53,96
P1142,PlanetWear Phone Case,Protective and lightweight phone case with precise cutouts.,21x46x1 cm,PlanetWear,Phone Case,Cotton (non-organic),https://thvnext.bing.com/th/id/OIP.r1wiO6v49DuzXLa2QKTYdAHaHa?w=184&h=184&c=7&r=0&o=7&cb=thvnext&dpr=1.1&pid=1.7&rm=3,Verde Suppliers,"Mumbai, India",98.52,92
P1144,EcoLife Phone Case,Protective and lightweight phone case with precise cutouts.,44x23x12 cm,EcoLife,Phone Case,Copper,https://ts1.mm.bing.net/th?id=OIP.SNTLIOrAo-QzLpDlmOrvZQHaHa&pid=15.1,EcoGoods Hub,"Mumbai, India",8.58,51
P1147,SustainAble Phone Case,Protective and lightweight phone case with precise cutouts.,5x20x9 cm,SustainAble,Phone Case,Cotton (non-organic),https://thvnext.bing.com/th/id/OIP.1uk3GV0k0jYo9Ac060rXhwHaHZ?w=185&h=184&c=7&r=0&o=7&cb=thvnext&dpr=1.1&pid=1.7&rm=3,GreenMart,"Delhi, India",59.82,96
P1152,PlanetWear Phone Case,Protective and lightweight phone case with precise cutouts.,47x33x4 cm,PlanetWear,Phone Case,Organic Cotton,https://thvnext.bing.com/th/id/OIP.ZtjoYw4ItiUynVU3Glz-2wHaHa?w=196&h=196&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,Verde Suppliers,"Mumbai, India",35.77,83
P1154,EcoNest Phone Case,Protective and lightweight phone case with precise cutouts.,12x21x15 cm,EcoNest,Phone Case,Rubber (natural),https://thvnext.bing.com/th/id/OIP.CILfQIB2rqNP9eA62jDByAHaEK?w=292&h=180&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,GreenMart,"Hyderabad, India",28.74,22
P1166,SustainAble Phone Case,Protective and lightweight phone case with precise cutouts.,36x28x16 cm,SustainAble,Phone Case,Organic Cotton,https://thvnext.bing.com/th?id=OIF.wCxX%2bCu46bcM9hqQTVsnQg&w=164&h=180&c=7&r=0&o=5&cb=thvnext&dpr=1.1&pid=1.7,EarthOutlet,"Delhi, India",61.73,30
